date,time,day_of_week,male_adult,female_adult,male_old,female_old,male_young,female_young
2024-01-08,07:00,월,175,76,195,90,83,87
2024-01-08,08:00,월,219,115,47,125,64,114
2024-01-08,09:00,월,38,46,87,41,21,94
2024-01-08,10:00,월,21,107,79,80,68,55
2024-01-08,11:00,월,104,62,76,102,24,18
2024-01-08,12:00,월,76,94,59,100,34,109
2024-01-08,13:00,월,158,51,61,122,104,129
2024-01-08,14:00,월,128,20,134,89,73,48
2024-01-08,15:00,월,150,52,79,14,119,69
2024-01-08,16:00,월,155,63,33,79,152,79
2024-01-08,17:00,월,68,37,27,81,22,81
2024-01-08,18:00,월,190,95,155,141,151,44
2024-01-08,19:00,월,104,59,70,60,231,74
2024-01-08,20:00,월,41,65,126,59,117,26
2024-01-08,21:00,월,38,26,160,62,46,43
2024-01-08,22:00,월,30,38,17,32,32,45
2024-01-08,23:00,월,28,12,78,25,43,43
2024-01-09,00:00,화,53,45,38,43,63,13
2024-01-09,01:00,화,80,34,30,32,56,34
2024-01-09,02:00,화,34,34,53,44,40,53
2024-01-09,03:00,화,21,38,24,50,23,17
2024-01-09,04:00,화,71,14,39,50,49,57
2024-01-09,05:00,화,56,31,30,14,19,17
2024-01-09,06:00,화,85,104,61,61,63,70
2024-01-09,07:00,화,37,133,129,42,250,174
2024-01-09,08:00,화,189,67,94,165,223,147
2024-01-09,09:00,화,87,42,116,69,95,118
2024-01-09,10:00,화,36,59,122,86,136,75
2024-01-09,11:00,화,156,98,39,58,38,87
2024-01-09,12:00,화,85,141,125,57,152,76
2024-01-09,13:00,화,97,31,54,86,79,80
2024-01-09,14:00,화,39,67,29,56,139,115
2024-01-09,15:00,화,48,41,116,100,165,84
2024-01-09,16:00,화,96,46,57,35,56,74
2024-01-09,17:00,화,21,110,104,110,53,30
2024-01-09,18:00,화,242,121,188,45,94,157
2024-01-09,19:00,화,115,141,87,103,78,48
2024-01-09,20:00,화,148,18,96,115,46,52
2024-01-09,21:00,화,26,57,68,72,126,33
2024-01-09,22:00,화,30,15,89,12,35,52
2024-01-09,23:00,화,9,18,59,56,8,32
2024-01-10,00:00,수,43,36,25,44,10,49
2024-01-10,01:00,수,59,34,81,21,34,22
2024-01-10,02:00,수,13,40,48,13,58,15
2024-01-10,03:00,수,22,27,39,28,45,29
2024-01-10,04:00,수,47,40,9,8,50,9
2024-01-10,05:00,수,86,15,56,24,21,13
2024-01-10,06:00,수,21,35,166,104,55,37
2024-01-10,07:00,수,134,167,75,41,39,163
2024-01-10,08:00,수,258,94,121,96,106,119
2024-01-10,09:00,수,122,95,105,95,137,117
2024-01-10,10:00,수,78,11,143,42,103,63
2024-01-10,11:00,수,22,92,103,35,99,114
2024-01-10,12:00,수,104,78,30,74,213,123
2024-01-10,13:00,수,67,64,93,130,72,61
2024-01-10,14:00,수,45,18,178,50,166,32
2024-01-10,15:00,수,153,50,64,81,100,67
2024-01-10,16:00,수,107,102,156,26,164,85
2024-01-10,17:00,수,152,54,172,62,134,23
2024-01-10,18:00,수,44,76,265,139,177,24
2024-01-10,19:00,수,83,31,56,86,168,176
2024-01-10,20:00,수,98,41,96,104,91,79
2024-01-10,21:00,수,95,30,61,41,77,16
2024-01-10,22:00,수,85,54,82,18,48,26
2024-01-10,23:00,수,55,43,34,36,58,6
2024-01-11,00:00,목,65,49,56,11,68,39
2024-01-11,01:00,목,84,24,15,41,78,48
2024-01-11,02:00,목,48,49,77,63,73,47
2024-01-11,03:00,목,53,28,65,58,35,47
2024-01-11,04:00,목,70,55,14,61,50,15
2024-01-11,05:00,목,38,59,38,9,77,58
2024-01-11,06:00,목,127,80,183,21,148,36
2024-01-11,07:00,목,177,117,213,27,39,145
2024-01-11,08:00,목,48,60,112,142,256,180
2024-01-11,09:00,목,37,69,24,123,37,30
2024-01-11,10:00,목,196,102,90,38,180,110
2024-01-11,11:00,목,29,60,126,59,193,93
2024-01-11,12:00,목,250,59,187,80,162,143
2024-01-11,13:00,목,129,29,78,154,155,108
2024-01-11,14:00,목,166,15,166,29,147,37
2024-01-11,15:00,목,70,99,99,111,100,128
2024-01-11,16:00,목,122,48,100,46,182,113
2024-01-11,17:00,목,179,44,161,71,92,67
2024-01-11,18:00,목,56,94,60,62,239,62
2024-01-11,19:00,목,108,167,63,190,130,139
2024-01-11,20:00,목,77,119,138,121,120,113
2024-01-11,21:00,목,146,128,106,65,195,17
2024-01-11,22:00,목,57,16,80,35,37,11
2024-01-11,23:00,목,40,49,12,65,79,57
2024-01-12,00:00,금,24,21,12,12,87,18
2024-01-12,01:00,금,60,65,16,68,29,51
2024-01-12,02:00,금,27,32,54,37,18,21
2024-01-12,03:00,금,36,11,37,55,15,64
2024-01-12,04:00,금,53,41,96,49,37,32
2024-01-12,05:00,금,93,31,72,37,91,58
2024-01-12,06:00,금,195,128,74,137,46,40
2024-01-12,07:00,금,48,62,54,59,108,139
2024-01-12,08:00,금,235,74,290,179,224,187
2024-01-12,09:00,금,176,71,94,30,103,26
2024-01-12,10:00,금,190,135,95,103,69,114
2024-01-12,11:00,금,43,38,22,87,97,30
2024-01-12,12:00,금,249,86,264,116,274,168
2024-01-12,13:00,금,148,98,200,72,160,111
2024-01-12,14:00,금,114,78,150,34,208,56
2024-01-12,15:00,금,97,136,100,17,146,125
2024-01-12,16:00,금,202,15,117,132,189,81
2024-01-12,17:00,금,186,88,79,114,133,54
2024-01-12,18:00,금,282,162,117,165,176,69
2024-01-12,19:00,금,127,207,279,80,289,63
2024-01-12,20:00,금,145,61,194,50,37,53
2024-01-12,21:00,금,63,79,44,88,36,58
2024-01-12,22:00,금,86,41,74,63,17,38
2024-01-12,23:00,금,18,58,40,27,57,53
2024-01-13,00:00,토,127,25,111,43,108,32
2024-01-13,01:00,토,16,8,84,54,45,81
2024-01-13,02:00,토,59,59,129,25,65,32
2024-01-13,03:00,토,98,67,123,19,121,19
2024-01-13,04:00,토,87,57,66,53,72,39
2024-01-13,05:00,토,19,39,111,84,24,36
2024-01-13,06:00,토,30,31,144,25,65,178
2024-01-13,07:00,토,292,137,151,216,272,170
2024-01-13,08:00,토,389,32,363,53,177,239
2024-01-13,09:00,토,123,111,52,75,131,144
2024-01-13,10:00,토,246,157,180,158,141,87
2024-01-13,11:00,토,236,23,141,37,74,56
2024-01-13,12:00,토,278,86,234,178,89,129
2024-01-13,13:00,토,244,200,325,107,75,131
2024-01-13,14:00,토,49,90,203,78,51,148
2024-01-13,15:00,토,79,46,211,136,100,166
2024-01-13,16:00,토,234,142,83,102,212,87
2024-01-13,17:00,토,144,136,130,41,222,160
2024-01-13,18:00,토,42,253,248,261,272,219
2024-01-13,19:00,토,312,216,98,262,387,176
2024-01-13,20:00,토,84,21,139,177,168,132
2024-01-13,21:00,토,172,118,102,41,55,117
2024-01-13,22:00,토,29,55,83,78,31,55
2024-01-13,23:00,토,102,48,115,59,19,57
2024-01-14,00:00,일,62,63,62,49,47,62
2024-01-14,01:00,일,101,27,33,56,16,40
2024-01-14,02:00,일,55,77,57,77,74,21
2024-01-14,03:00,일,48,43,65,18,51,60
2024-01-14,04:00,일,55,12,58,18,14,75
2024-01-14,05:00,일,94,19,23,12,95,81
2024-01-14,06:00,일,180,151,51,58,133,20
2024-01-14,07:00,일,177,184,128,50,182,82
2024-01-14,08:00,일,148,189,267,47,130,228
2024-01-14,09:00,일,74,70,201,25,173,58
2024-01-14,10:00,일,150,149,243,109,90,160
2024-01-14,11:00,일,228,69,208,82,67,40
2024-01-14,12:00,일,80,204,63,42,228,173
2024-01-14,13:00,일,253,118,107,22,181,165
2024-01-14,14:00,일,216,32,70,149,115,27
2024-01-14,15:00,일,80,147,47,159,192,56
2024-01-14,16:00,일,236,134,40,144,110,85
2024-01-14,17:00,일,38,21,168,59,43,43
2024-01-14,18:00,일,310,169,150,125,137,167
2024-01-14,19:00,일,214,162,37,36,239,214
2024-01-14,20:00,일,133,20,74,158,46,141
2024-01-14,21:00,일,79,130,221,44,28,152
2024-01-14,22:00,일,116,47,50,36,50,56
2024-01-14,23:00,일,70,34,34,48,32,58
2024-01-15,00:00,월,41,25,81,32,63,40
2024-01-15,01:00,월,30,43,24,59,16,25
2024-01-15,02:00,월,13,36,25,44,36,54
2024-01-15,03:00,월,30,40,18,9,59,49
2024-01-15,04:00,월,69,36,70,33,67,62
2024-01-15,05:00,월,17,33,54,51,75,12
2024-01-15,06:00,월,198,93,36,125,64,119
2024-01-15,07:00,월,257,87,206,146,272,156
2024-01-15,08:00,월,48,200,221,71,66,44
2024-01-15,09:00,월,128,101,46,35,74,47
2024-01-15,10:00,월,173,79,43,77,131,44
2024-01-15,11:00,월,69,106,131,43,117,30
2024-01-15,12:00,월,158,156,181,17,217,81
2024-01-15,13:00,월,126,18,51,145,209,77
2024-01-15,14:00,월,179,118,23,88,100,29
2024-01-15,15:00,월,195,82,120,124,194,99
2024-01-15,16:00,월,166,132,200,107,174,85
2024-01-15,17:00,월,182,115,198,46,70,31
2024-01-15,18:00,월,261,140,234,67,306,64
2024-01-15,19:00,월,148,45,282,58,300,58
2024-01-15,20:00,월,79,64,71,64,189,135
2024-01-15,21:00,월,139,52,38,56,103,108
2024-01-15,22:00,월,10,62,40,63,48,58
2024-01-15,23:00,월,67,27,58,48,69,36
2024-01-16,00:00,화,90,60,98,68,19,40
2024-01-16,01:00,화,100,63,109,23,45,75
2024-01-16,02:00,화,24,11,99,44,71,12
2024-01-16,03:00,화,108,34,49,57,61,68
2024-01-16,04:00,화,63,75,103,16,86,62
2024-01-16,05:00,화,40,37,63,31,40,53
2024-01-16,06:00,화,157,47,135,43,71,55
2024-01-16,07:00,화,284,208,265,117,151,122
2024-01-16,08:00,화,303,195,332,190,91,187
2024-01-16,09:00,화,220,46,166,133,192,143
2024-01-16,10:00,화,113,31,191,88,122,141
2024-01-16,11:00,화,134,49,194,81,191,58
2024-01-16,12:00,화,200,36,276,65,111,180
2024-01-16,13:00,화,74,23,259,198,201,117
2024-01-16,14:00,화,185,142,226,88,112,128
2024-01-16,15:00,화,136,46,44,92,143,119
2024-01-16,16:00,화,208,72,148,136,68,46
2024-01-16,17:00,화,83,59,197,63,64,137
2024-01-16,18:00,화,294,172,242,58,179,165
2024-01-16,19:00,화,280,96,213,151,125,228
2024-01-16,20:00,화,92,152,177,112,64,149
2024-01-16,21:00,화,80,149,203,130,176,139
2024-01-16,22:00,화,22,52,63,7,35,44
2024-01-16,23:00,화,75,36,79,52,27,63
2024-01-17,00:00,수,83,32,65,69,80,65
2024-01-17,01:00,수,72,59,107,55,56,62
2024-01-17,02:00,수,20,20,113,53,20,43
2024-01-17,03:00,수,61,66,17,18,56,43
2024-01-17,04:00,수,47,58,99,11,79,37
2024-01-17,05:00,수,50,42,24,58,19,44
2024-01-17,06:00,수,157,22,191,87,40,78
2024-01-17,07:00,수,235,105,309,129,142,45
2024-01-17,08:00,수,144,220,285,37,182,120
2024-01-17,09:00,수,92,129,74,18,121,49
2024-01-17,10:00,수,37,48,129,80,125,69
2024-01-17,11:00,수,135,86,160,43,203,107
2024-01-17,12:00,수,274,75,229,95,168,130
2024-01-17,13:00,수,197,32,170,174,238,187
2024-01-17,14:00,수,105,47,130,120,223,125
2024-01-17,15:00,수,65,26,221,119,158,140
2024-01-17,16:00,수,179,47,166,27,99,26
2024-01-17,17:00,수,102,40,106,107,158,123
2024-01-17,18:00,수,105,133,172,90,105,58
2024-01-17,19:00,수,141,187,220,101,153,79
2024-01-17,20:00,수,133,120,212,125,188,84
2024-01-17,21:00,수,149,130,122,149,180,120
2024-01-17,22:00,수,24,56,16,65,55,17
2024-01-17,23:00,수,50,19,105,65,31,75
2024-01-18,00:00,목,111,11,31,21,36,25
2024-01-18,01:00,목,50,26,47,69,23,51
2024-01-18,02:00,목,17,47,17,42,44,51
2024-01-18,03:00,목,80,45,26,54,45,15
2024-01-18,04:00,목,77,78,108,58,64,31
2024-01-18,05:00,목,100,42,18,82,19,23
2024-01-18,06:00,목,128,48,130,105,117,79
2024-01-18,07:00,목,109,161,41,231,92,61
2024-01-18,08:00,목,354,58,320,222,255,94
2024-01-18,09:00,목,214,16,35,29,156,112
2024-01-18,10:00,목,85,122,215,122,155,100
2024-01-18,11:00,목,215,138,200,73,87,38
2024-01-18,12:00,목,236,33,183,133,229,83
2024-01-18,13:00,목,137,139,272,40,111,211
2024-01-18,14:00,목,63,74,121,109,119,35
2024-01-18,15:00,목,127,107,208,91,94,31
2024-01-18,16:00,목,132,24,223,113,131,127
2024-01-18,17:00,목,130,112,198,110,49,113
2024-01-18,18:00,목,41,175,183,251,94,197
2024-01-18,19:00,목,356,50,85,68,278,69
2024-01-18,20:00,목,42,146,99,101,32,39
2024-01-18,21:00,목,164,71,116,131,126,149
2024-01-18,22:00,목,49,64,19,50,46,35
2024-01-18,23:00,목,31,55,43,26,106,67
2024-01-19,00:00,금,111,19,67,31,60,88
2024-01-19,01:00,금,84,54,88,19,120,78
2024-01-19,02:00,금,59,61,117,59,119,90
2024-01-19,03:00,금,15,18,46,75,83,61
2024-01-19,04:00,금,34,85,38,12,68,43
2024-01-19,05:00,금,35,45,15,27,134,57
2024-01-19,06:00,금,199,18,27,146,272,79
2024-01-19,07:00,금,196,85,61,108,299,227
2024-01-19,08:00,금,407,192,157,75,287,231
2024-01-19,09:00,금,203,137,90,36,202,51
2024-01-19,10:00,금,97,83,81,101,155,64
2024-01-19,11:00,금,44,90,130,180,242,116
2024-01-19,12:00,금,250,204,177,81,257,207
2024-01-19,13:00,금,241,144,202,144,46,77
2024-01-19,14:00,금,57,60,115,128,30,22
2024-01-19,15:00,금,243,71,33,168,192,167
2024-01-19,16:00,금,122,134,41,150,55,51
2024-01-19,17:00,금,227,54,103,150,59,31
2024-01-19,18:00,금,235,210,70,259,281,194
2024-01-19,19:00,금,287,38,97,107,299,71
2024-01-19,20:00,금,260,131,264,42,192,45
2024-01-19,21:00,금,183,106,93,164,152,69
2024-01-19,22:00,금,110,76,20,31,80,32
2024-01-19,23:00,금,28,78,85,56,63,69
2024-01-20,00:00,토,101,82,106,99,29,31
2024-01-20,01:00,토,130,61,76,17,145,91
2024-01-20,02:00,토,56,42,22,13,105,47
2024-01-20,03:00,토,163,71,169,18,18,91
2024-01-20,04:00,토,30,79,170,15,40,57
2024-01-20,05:00,토,131,59,121,102,24,37
2024-01-20,06:00,토,285,70,55,207,86,111
2024-01-20,07:00,토,472,146,222,106,351,74
2024-01-20,08:00,토,216,322,480,320,423,74
2024-01-20,09:00,토,55,197,266,84,313,103
2024-01-20,10:00,토,75,200,285,105,148,60
2024-01-20,11:00,토,137,105,253,176,280,141
2024-01-20,12:00,토,427,171,297,43,165,244
2024-01-20,13:00,토,147,119,105,271,96,67
2024-01-20,14:00,토,244,143,163,199,180,176
2024-01-20,15:00,토,146,211,272,39,94,221
2024-01-20,16:00,토,311,57,117,189,304,102
2024-01-20,17:00,토,280,104,192,84,141,29
2024-01-20,18:00,토,85,125,167,156,433,68
2024-01-20,19:00,토,56,229,464,244,266,106
2024-01-20,20:00,토,222,106,156,29,334,60
2024-01-20,21:00,토,313,223,191,165,229,102
2024-01-20,22:00,토,24,42,105,40,131,51
2024-01-20,23:00,토,24,43,108,51,111,45
2024-01-21,00:00,일,120,70,154,32,53,85
2024-01-21,01:00,일,20,73,83,60,120,81
2024-01-21,02:00,일,114,36,24,25,153,50
2024-01-21,03:00,일,65,100,61,14,110,53
2024-01-21,04:00,일,41,51,88,17,87,70
2024-01-21,05:00,일,77,29,90,11,83,20
2024-01-21,06:00,일,298,85,207,175,49,173
2024-01-21,07:00,일,277,130,173,265,231,205
2024-01-21,08:00,일,57,194,405,292,424,80
2024-01-21,09:00,일,192,52,300,142,154,21
2024-01-21,10:00,일,307,184,88,121,175,47
2024-01-21,11:00,일,192,189,202,83,176,213
2024-01-21,12:00,일,267,257,190,71,254,224
2024-01-21,13:00,일,290,123,150,57,240,172
2024-01-21,14:00,일,204,31,287,135,75,158
2024-01-21,15:00,일,311,103,54,142,316,30
2024-01-21,16:00,일,102,23,49,68,220,84
2024-01-21,17:00,일,244,157,297,187,191,189
2024-01-21,18:00,일,296,117,311,86,72,249
2024-01-21,19:00,일,57,163,144,216,291,192
2024-01-21,20:00,일,138,49,236,135,268,167
2024-01-21,21:00,일,130,38,250,32,146,135
2024-01-21,22:00,일,123,96,150,74,142,64
2024-01-21,23:00,일,139,88,137,23,59,105
2024-01-22,00:00,월,67,45,42,13,58,12
2024-01-22,01:00,월,10,9,14,61,37,61
2024-01-22,02:00,월,67,48,20,11,43,12
2024-01-22,03:00,월,18,35,21,20,64,53
2024-01-22,04:00,월,94,11,92,25,16,23
2024-01-22,05:00,월,87,59,68,54,45,42
2024-01-22,06:00,월,89,106,90,61,123,75
2024-01-22,07:00,월,91,60,42,116,229,21
2024-01-22,08:00,월,127,34,231,79,67,46
2024-01-22,09:00,월,165,56,116,105,106,99
2024-01-22,10:00,월,166,29,35,57,104,51
2024-01-22,11:00,월,85,82,28,91,118,90
2024-01-22,12:00,월,67,98,237,27,171,132
2024-01-22,13:00,월,245,125,151,91,223,38
2024-01-22,14:00,월,122,90,51,84,185,91
2024-01-22,15:00,월,153,53,67,82,80,121
2024-01-22,16:00,월,61,69,106,40,165,41
2024-01-22,17:00,월,175,54,159,108,65,35
2024-01-22,18:00,월,34,160,229,35,217,104
2024-01-22,19:00,월,280,186,153,168,230,53
2024-01-22,20:00,월,102,118,130,18,137,78
2024-01-22,21:00,월,107,45,77,121,82,75
2024-01-22,22:00,월,55,30,52,14,64,22
2024-01-22,23:00,월,65,37,94,62,52,22
2024-01-23,00:00,화,68,7,86,56,95,65
2024-01-23,01:00,화,41,34,76,37,93,19
2024-01-23,02:00,화,74,58,103,42,92,8
2024-01-23,03:00,화,41,52,35,57,64,61
2024-01-23,04:00,화,37,37,77,61,91,37
2024-01-23,05:00,화,38,66,76,53,38,63
2024-01-23,06:00,화,55,73,116,66,154,77
2024-01-23,07:00,화,151,85,33,22,272,91
2024-01-23,08:00,화,238,66,46,100,149,176
2024-01-23,09:00,화,151,103,132,17,54,65
2024-01-23,10:00,화,138,110,49,19,23,46
2024-01-23,11:00,화,123,139,49,126,197,113
2024-01-23,12:00,화,260,128,267,31,137,125
2024-01-23,13:00,화,227,113,39,75,226,64
2024-01-23,14:00,화,98,76,49,138,41,51
2024-01-23,15:00,화,210,33,141,105,182,49
2024-01-23,16:00,화,195,80,21,22,147,75
2024-01-23,17:00,화,28,127,163,46,110,21
2024-01-23,18:00,화,163,164,186,143,300,183
2024-01-23,19:00,화,275,59,217,57,225,124
2024-01-23,20:00,화,83,86,37,96,155,33
2024-01-23,21:00,화,57,69,96,16,180,53
2024-01-23,22:00,화,41,36,76,50,32,60
2024-01-23,23:00,화,83,33,14,60,101,68
2024-01-24,00:00,수,23,10,19,60,23,58
2024-01-24,01:00,수,84,50,45,18,87,36
2024-01-24,02:00,수,80,39,72,56,37,17
2024-01-24,03:00,수,36,54,31,24,86,56
2024-01-24,04:00,수,36,11,103,45,60,21
